Bankleitzahl;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC
10080088;Commerzbank vormals Dresdner Bank IBLZ;10623;Berlin;Commerzbank IBLZ Berlin;;DRESDEFFXXX
10080089;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6;10877;Berlin;Commerzbank ITGK6 Berlin;;DRESDEFFI73
10080900;Commerzbank vormals Dresdner Bank Filiale Berlin III;10877;Berlin;Commerzbk Fil III Berlin;28109;DRESDEFF199
10089260;Commerzbank vormals Dresdner Bank ITGK;10877;Berlin;Commerzbank ITGK Berlin;;DRESDEFFI14
10089999;Commerzbank vormals Dresdner Bank ITGK 2;10117;Berlin;Commerzbank ITGK 2 Berlin;;DRESDEFFI99
10090000;Berliner Volksbank;10892;Berlin;Berliner VB Berlin;91001;BEVODEBBXXX
10090300;Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer;13353;Berlin;Bk f Schiffahrt BFS Berlin;;GENODEF1BSB
10090603;apoBank;10593;Berlin;apoBank Berlin;91006;DAAEDED1003
10090603;apoBank;19061;Schwerin;apoBank Schwerin;91006;DAAEDED1042
10090603;apoBank;01099;Dresden;apoBank Dresden;91006;DAAEDED1043
10090603;apoBank;04129;Leipzig;apoBank Leipzig;91006;DAAEDED1041
10090603;apoBank;09111;Chemnitz;apoBank Chemnitz;91006;DAAEDED1049
10090603;apoBank;99084;Erfurt;apoBank Erfurt;91006;DAAEDED1045
10090603;apoBank;39104;Magdeburg;apoBank Magdeburg;91006;DAAEDED1046
10090603;apoBank;14467;Potsdam;apoBank Potsdam;91006;DAAEDED1048
10090900;PSD Bank Berlin-Brandenburg;12154;Berlin;PSD Bank Berlin;91008;GENODEF1P01
10110300;Westend Bank;60599;Frankfurt am Main;Westend Bank;26240;MACODEB1XXX
10110400;Investitionsbank Berlin;10702;Berlin;Investitionsbank Berlin;;IBBBDEBBXXX
10110600;Quirin Privatbank;10711;Berlin;Quirin Privatbank Berlin;25207;QUBKDEBBXXX
10120100;Weberbank;10893;Berlin;Weberbank;51012;WELADED1WBB
10120800;BNP Paribas Ndl. Deutschland former VON ESSEN Bank;80336;München;BNP Paribas Ndl. Dt.;26037;VONEDE33BLN
10130600;Isbank Fil Berlin;13353;Berlin;Isbank Berlin;29835;ISBKDEFXXXX
10130800;flatex Bank;60327;Frankfurt am Main;flatex Bank, Frankfurt;25185;BIWBDE33XXX
10220500;Lloyds Bank;10178;Berlin;Lloyds Bank;;BOFSDEB1XXX
10220600;Sydbank Filiale Berlin;14193;Berlin;Sydbank Berlin;;SYBKDE22BER
10310600;Tradegate Wertpapierhandelsbank Berlin;10711;Berlin;Tradegate Berlin;25257;TRDADEB1PBK
11010100;solarisBank;10178;Berlin;solarisBank;;SOBKDEBBXXX
11010101;solarisBank Gf (S);10178;Berlin;solarisBank Gf (S);;SOBKDEB2XXX
12016836;KfW Kreditanstalt für Wiederaufbau;10117;Berlin;KfW Berlin;;KFWIDEFF100
12030000;Deutsche Kreditbank Berlin;10117;Berlin;Deutsche Kreditbank Berlin;51011;BYLADEM1001
12030900;Merck Finck Privatbankiers;10719;Berlin;Merck Finck Privatbankiers;26249;MEFIDEMM100
12040000;Commerzbank Filiale Berlin 2;10891;Berlin;Commerzbank Fil. Berlin 2;24120;COBADEBB120
12050555;ZVA Norddeutsche Landesbank Gf SA;30151;Hannover;ZVA NORD LB Gf SA;;NOLADE21DVS
12060000;DZ BANK;10001;Berlin;DZ BANK;;GENODEFF120
12070000;Deutsche Bank Ld Brandenburg;14405;Potsdam;Deutsche Bank Ld Brandenbg;27704;DEUTDEBB160
12070000;Deutsche Bank;16252;Bad Freienwalde (Oder);Deutsche Bank Bad Freienwde;27704;DEUTDEBB172
12070000;Deutsche Bank;16311;Bernau bei Berlin;Deutsche Bank Bernau;27704;DEUTDEBB122
12070000;Deutsche Bank;14776;Brandenburg an der Havel;Deutsche Bank Brandenburg;27704;DEUTDEBB161
12070000;Deutsche Bank;03046;Cottbus;Deutsche Bank Cottbus;27704;DEUTDEBB180
12070000;Deutsche Bank;16225;Eberswalde;Deutsche Bank Eberswalde;27704;DEUTDEBB173
12070000;Deutsche Bank;15873;Eisenhüttenstadt;Deutsche Bank Eisenhüttenst;27704;DEUTDEBB174
12070000;Deutsche Bank;03232;Finsterwalde;Deutsche Bank Finsterwalde;27704;DEUTDEBB182
12070000;Deutsche Bank;15203;Frankfurt (Oder);Deutsche Bank Frankfurt Od;27704;DEUTDEBB170
12070000;Deutsche Bank;15501;Fürstenwalde/Spree;Deutsche Bank Fürstenwalde;27704;DEUTDEBB175
12070000;Deutsche Bank;14902;Jüterbog;Deutsche Bank Jüterbog;27704;DEUTDEBB187
12070000;Deutsche Bank;15701;Königs Wusterhausen;Deutsche Bank Königs Wuster;27704;DEUTDEBB121
12070000;Deutsche Bank;16856;Kyritz;Deutsche Bank Kyritz;27704;DEUTDEBB163
12070000;Deutsche Bank;16801;Neuruppin;Deutsche Bank Neuruppin;27704;DEUTDEBB123
12070000;Deutsche Bank;16502;Oranienburg;Deutsche Bank Oranienburg;27704;DEUTDEBB120
12070000;Deutsche Bank;16921;Pritzwalk;Deutsche Bank Pritzwalk;27704;DEUTDEBB166
12070000;Deutsche Bank;14712;Rathenow;Deutsche Bank Rathenow;27704;DEUTDEBB167
12070000;Deutsche Bank;16285;Schwedt/Oder;Deutsche Bank Schwedt;27704;DEUTDEBB176
12070000;Deutsche Bank;15301;Seelow;Deutsche Bank Seelow;27704;DEUTDEBB177
12070000;Deutsche Bank;01968;Senftenberg;Deutsche Bank Senftenberg;27704;DEUTDEBB185
12070000;Deutsche Bank;03130;Spremberg;Deutsche Bank Spremberg;27704;DEUTDEBB186
12070000;Deutsche Bank;02931;Weißwasser/O.L.;Deutsche Bank Weißwasser;27704;DEUTDEBB189
12070000;Deutsche Bank;03161;Guben;Deutsche Bank Guben;27704;DEUTDEBB183
12070000;Deutsche Bank;16901;Wittstock/Dosse;Deutsche Bank Wittstock;27704;DEUTDEBB169
12070000;Deutsche Bank;15801;Zossen;Deutsche Bank Zossen;27704;DEUTDEBB124
12070000;Deutsche Bank;16278;Angermünde;Deutsche Bank Angermünde;27704;DEUTDEBB171
12070000;Deutsche Bank;14612;Falkensee;Deutsche Bank Falkensee;27704;DEUTDEBB162
12070000;Deutsche Bank;03149;Forst (Lausitz);Deutsche Bank Forst;27704;DEUTDEBB181
12070000;Deutsche Bank;16761;Hennigsdorf;Deutsche Bank Hennigsdorf;27704;DEUTDEBB125
12070000;Deutsche Bank;14943;Luckenwalde;Deutsche Bank Luckenwalde;27704;DEUTDEBB188
12070000;Deutsche Bank;14974;Ludwigsfelde;Deutsche Bank Ludwigsfelde;27704;DEUTDEBB164
12070000;Deutsche Bank;15907;Lübben (Spreewald);Deutsche Bank Lübben;27704;DEUTDEBB184
12070000;Deutsche Bank;01987;Schwarzheide;Deutsche Bank Schwarzheide;27704;DEUTDEBB126
12070000;Deutsche Bank;15344;Strausberg;Deutsche Bank Strausberg;27704;DEUTDEBB178
12070000;Deutsche Bank;14513;Teltow;Deutsche Bank Teltow;27704;DEUTDEBB127
12070000;Deutsche Bank;14542;Werder (Havel);Deutsche Bank Werder Havel;27704;DEUTDEBB168
12070000;Deutsche Bank;14641;Nauen;Deutsche Bank Nauen;27704;DEUTDEBB165
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14405;Potsdam;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB160
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16278;Angermünde;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB171
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16252;Bad Freienwalde (Oder);DB PFK (Deutsche Bank PGK);21704;DEUTDEDB172
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16311;Bernau bei Berlin;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB122
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03046;Cottbus;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB180
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16225;Eberswalde;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB173
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15873;Eisenhüttenstadt;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB174
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14612;Falkensee;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB162
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03232;Finsterwalde;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB182
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03149;Forst (Lausitz);DB PFK (Deutsche Bank PGK);21704;DEUTDEDB181
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15203;Frankfurt (Oder);DB PFK (Deutsche Bank PGK);21704;DEUTDEDB170
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15501;Fürstenwalde/Spree;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB175
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03161;Guben;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB183
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16761;Hennigsdorf;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB125
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14902;Jüterbog;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB187
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15701;Königs Wusterhausen;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB121
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16856;Kyritz;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB163
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14943;Luckenwalde;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB188
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14974;Ludwigsfelde;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB164
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15907;Lübben (Spreewald);DB PFK (Deutsche Bank PGK);21704;DEUTDEDB184
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14641;Nauen;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB165
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16801;Neuruppin;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB123
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16502;Oranienburg;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB120
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16921;Pritzwalk;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB166
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14712;Rathenow;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB167
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);01987;Schwarzheide;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB126
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16285;Schwedt/Oder;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB176
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15301;Seelow;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB177
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);01968;Senftenberg;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB185
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03130;Spremberg;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB186
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15344;Strausberg;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB178
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14513;Teltow;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB127
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);02931;Weißwasser/O.L.;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB189
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14542;Werder (Havel);DB PFK (Deutsche Bank PGK);21704;DEUTDEDB168
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16901;Wittstock/Dosse;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB169
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15801;Zossen;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB124
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) F 704;14776;Brandenburg an der Havel;DB PFK (Deutsche Bank PGK);21704;DEUTDEDB161
12070070;Deutsche Bank (Gf intern);14405;Potsdam;Deutsche Bank (Gf intern);;DEUTDEFFVAC
12070088;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) intern;14405;Potsdam;DB PFK (Deutsche Bank PGK);;DEUTDEDBPAL
12080000;Commerzbank vormals Dresdner Bank Filiale Berlin II;10623;Berlin;Commerzbank Fil II Berlin;28120;DRESDEFF120
12090640;apoBank;10625;Berlin;apoBank -ZV-Ost- Berlin;91050;DAAEDED1040
12096597;Sparda-Bank Berlin;10407;Berlin;Sparda-Bank Berlin;91055;GENODEF1S10
13000000;Bundesbank;18004;Rostock;BBk Rostock;20130;MARKDEF1130
13010111;DSK Hyp;18055;Rostock;DSK Hyp;25921;ESSEDE5F130
13040000;Commerzbank;18006;Rostock;Commerzbank Rostock;24130;COBADEFFXXX
13050000;Ostseesparkasse Rostock;18004;Rostock;Ostseesparkasse Rostock;51399;NOLADE21ROS
13051042;Sparkasse Vorpommern auf Rügen;18525;Bergen auf Rügen;Spk Vorpommern auf Rügen;51303;NOLADE21RUE
13061078;Volks- und Raiffeisenbank;23952;Wismar;VB u Raiffbk;61286;GENODEF1HWI
13061128;Raiffeisenbank;18209;Bad Doberan;Raiffeisenbank Bad Doberan;61288;GENODEF1DBR
13070000;Deutsche Bank;18002;Rostock;Deutsche Bank Rostock;27707;DEUTDEBRXXX
13070000;Deutsche Bank;17381;Anklam;Deutsche Bank Anklam;27707;DEUTDEBB151
13070000;Deutsche Bank;18201;Bad Doberan;Deutsche Bank Bad Doberan;27707;DEUTDEBR131
13070000;Deutsche Bank;18521;Bergen auf Rügen;Deutsche Bank Bergen Rügen;27707;DEUTDEBR133
13070000;Deutsche Bank;18241;Bützow;Deutsche Bank Bützow;27707;DEUTDEBB130
13070000;Deutsche Bank;17101;Demmin, Hansestadt;Deutsche Bank Demmin;27707;DEUTDEBB131
13070000;Deutsche Bank;17462;Greifswald, Hansestadt;Deutsche Bank Greifswald;27707;DEUTDEBR134
13070000;Deutsche Bank;18502;Grimmen;Deutsche Bank Grimmen;27707;DEUTDEBR135
13070000;Deutsche Bank;18262;Güstrow;Deutsche Bank Güstrow;27707;DEUTDEBB141
13070000;Deutsche Bank;19221;Hagenow;Deutsche Bank Hagenow;27707;DEUTDEBB142
13070000;Deutsche Bank;19281;Ludwigslust;Deutsche Bank Ludwigslust;27707;DEUTDEBB143
13070000;Deutsche Bank;19381;Lübz;Deutsche Bank Lübz;27707;DEUTDEBB144
13070000;Deutsche Bank;17132;Malchin;Deutsche Bank Malchin;27707;DEUTDEBB152
13070000;Deutsche Bank;17036;Neubrandenburg;Deutsche Bank Neubrandenbg;27707;DEUTDEBB150
13070000;Deutsche Bank;17225;Neustrelitz;Deutsche Bank Neustrelitz;27707;DEUTDEBB153
13070000;Deutsche Bank;17281;Prenzlau;Deutsche Bank Prenzlau;27707;DEUTDEBB154
13070000;Deutsche Bank;18311;Ribnitz-Damgarten;Deutsche Bank Ribnitz-Damgt;27707;DEUTDEBR136
13070000;Deutsche Bank;19002;Schwerin;Deutsche Bank Schwerin;27707;DEUTDEBB140
13070000;Deutsche Bank;18401;Stralsund;Deutsche Bank Stralsund;27707;DEUTDEBR138
13070000;Deutsche Bank;17261;Templin;Deutsche Bank Templin;27707;DEUTDEBB155
13070000;Deutsche Bank;17161;Teterow;Deutsche Bank Teterow;27707;DEUTDEBB156
13070000;Deutsche Bank;17351;Torgelow;Deutsche Bank Torgelow;27707;DEUTDEBB179
13070000;Deutsche Bank;23951;Wismar;Deutsche Bank Wismar;27707;DEUTDEBB148
13070000;Deutsche Bank;19313;Wittenberge;Deutsche Bank Wittenberge;27707;DEUTDEBB149
13070000;Deutsche Bank;17438;Wolgast;Deutsche Bank Wolgast;27707;DEUTDEBB159
13070000;Deutsche Bank;19205;Gadebusch;Deutsche Bank Gadebusch;27707;DEUTDEBB132
13070000;Deutsche Bank;19370;Parchim;Deutsche Bank Parchim;27707;DEUTDEBB145
13070000;Deutsche Bank;19348;Perleberg;Deutsche Bank Perleberg;27707;DEUTDEBB146
13070000;Deutsche Bank;19395;Plau am See;Deutsche Bank Plau;27707;DEUTDEBB147
13070000;Deutsche Bank;18546;Sassnitz;Deutsche Bank Sassnitz;27707;DEUTDEBR137
13070000;Deutsche Bank;17192;Waren (Müritz);Deutsche Bank Waren;27707;DEUTDEBB158
13070000;Deutsche Bank;17373;Ueckermünde;Deutsche Bank Ueckermünde;27707;DEUTDEBB157
13070000;Deutsche Bank;18356;Barth;Deutsche Bank Barth;27707;DEUTDEBR132
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18002;Rostock;DB PFK (Deutsche Bank PGK);21707;DEUTDEDBROS
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17381;Anklam;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB151
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18201;Bad Doberan;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB131
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18521;Bergen auf Rügen;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB133
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18241;Bützow;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB130
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17101;Demmin, Hansestadt;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB128
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19205;Gadebusch;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB132
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17462;Greifswald, Hansestadt;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB134
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18502;Grimmen;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB135
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18262;Güstrow;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB141
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19221;Hagenow;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB142
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19281;Ludwigslust;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB143
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19381;Lübz;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB144
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17132;Malchin;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB152
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17033;Neubrandenburg;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB150
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17225;Neustrelitz;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB153
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19370;Parchim;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB145
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19348;Perleberg;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB146
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19395;Plau am See;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB147
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17281;Prenzlau;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB154
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18311;Ribnitz-Damgarten;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB136
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18546;Sassnitz;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB137
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19002;Schwerin;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB140
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18401;Stralsund;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB138
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17261;Templin;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB155
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17161;Teterow;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB156
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17351;Torgelow;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB179
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17373;Ueckermünde;DB PFK (Deutsche Bank PGK);21707;DEUTDEDB157
