firstname
Aaliyah
Abby
Abigail
Ada
Adelina
Adriana
Aimee
Ajla
Alara
Alea
Alena
Alessa
Alessia
Alexa
Alexandra
Alexia
Alexis
Aleyna
Alia
Alica
Alice
Alicia
Alina
Alisa
Alisha
Alissa
Alma
Almira
Alva
Alya
Amalia
Amanda
Amara
Amber
Amelia
Amelie
Amilia
Amina
Amira
Amy
Anastasia
Andrea
Angelina
Anja
Ann
Anna
Annabell
Annabella
Annalena
Anne
Annelie
Annemarie
Anni
Annika
Anouk
Antonia
Aria
Ariana
Arin
Arina
Arya
Ashley
Asmin
Asya
Aurelia
Aurelie
Aurora
Ava
Ayla
Aylin
Ayse
Azra
Beatrice
Bella
Bente
Betty
Beyza
Bianca
Caitlin
Cara
Carina
Carla
Carlotta
Carolin
Carolina
Cassandra
Cataleya
Cecilia
Celina
Celine
Ceyda
Ceylin
Charlie
Charlotta
Charlotte
Cheyenne
Chiara
Christin
Christina
Claire
Clara
Clarissa
Cleo
Cora
Cosima
Dalia
Dana
Daria
Davina
Defne
Delia
Diana
Dilara
Dina
Ecrin
Eda
Edda
Ela
Elaine
Elea
Eleanor
Elena
Eleni
Eleonora
Eliana
Elif
Elin
Elina
Elisa
Elisabeth
Elise
Elissa
Eliza
Ella
Ellen
Elli
Elsa
Emely
Emilia
Emilija
Emily
Emma
Emmi
Enie
Enisa
Enna
Enni
Enya
Erna
Erva
Esila
Eslem
Esma
Estelle
Esther
Eva
Evelina
Evelyn
Eylül
Fabienne
Fatima
Fatma
Felia
Felicia
Felicitas
Felina
Feline
Fenja
Fina
Fine
Finja
Fiona
Flora
Florentine
Franziska
Freya
Frieda
Friederike
Fritzi
Giulia
Gloria
Greta
Hailey
Hannah
Hanne
Havin
Hazal
Hedda
Hedi
Heidi
Helen
Helena
Helene
Helin
Henrieke
Henriette
Hermine
Hilda
Hira
Hiranur
Holly
Ida
Ilaria
Ilayda
Ina
Ines
Inga
Isa
Isabell
Isabella
Iva
Ivy
Jamie
Jana
Janina
Janna
Janne
Jara
Jasmin
Jasmina
Jella
Jenna
Jennifer
Jenny
Jessika
Jette
Jill
Joana
Johanna
Joleen
Jolie
Jolien
Jolina
Joline
Jona
Jonna
Josefin
Josephina
Josephine
Josie
Joy
Joyce
Judith
Jule
Julia
Juliana
Juliane
Julie
Julina
Juna
June
Käthe
Kaja
Kate
Katelyn
Katharina
Kati
Katja
Katrin
Kim
Kimberly
Kira
Laila
Lana
Lara
Larissa
Laura
Lea
Leana
Leandra
Leia
Leila
Lena
Lene
Leni
Lenia
Lenja
Leona
Leonie
Leonora
Leticia
Levke
Lia
Liana
Liara
Liesbeth
Lieselotte
Lilia
Lilian
Liliana
Lilith
Lilly
Lina
Linda
Line
Linnea
Lisa
Lisann
Liv
Liva
Livia
Liya
Liz
Lola
Lorena
Lotta
Lotte
Lou
Luana
Luca
Lucia
Lucy
Luisa
Luise
Luna
Luzi
Lydia
Lynn
Madeleine
Madita
Madlen
Magdalena
Maike
Maila
Mailin
Maira
Maja
Malea
Malena
Malia
Malin
Malina
Malou
Mara
Maren
Margarete
Maria
Mariam
Marie
Marieke
Mariella
Marina
Marisa
Marit
Marla
Marleen
Marlena
Marlene
Martha
Mary
Mathea
Mathilda
Mathilde
Maxi
Maxima
Medina
Megan
Melanie
Melek
Melia
Melike
Melina
Melinda
Melis
Melisa
Melissa
Melody
Merle
Meryem
Mia
Michelle
Mieke
Mika
Mila
Milana
Milena
Miley
Milina
Milla
Mina
Minna
Mira
Miray
Miriam
Mona
Nadine
Naemi
Naila
Nala
Naomi
Natalia
Natalie
Nea
Nela
Nele
Nelia
Nelly
Neyla
Nia
Nicole
Nika
Nike
Nila
Nina
Nisa
Noemi
Nora
Olivia
Palina
Patricia
Paula
Paulina
Pauline
Penelope
Philine
Philippa
Pia
Rabia
Rahel
Rebecca
Ria
Rieke
Romina
Romy
Ronja
Rosa
Rosalie
Ruby
Runa
Salome
Samantha
Samira
Saphira
Sarah
Sarina
Saskia
Scarlett
Selin
Selina
Selma
Sena
Serafina
Shanaya
Sila
Sina
Smilla
Soey
Sofia
Sonja
Sophie
Soraya
Stefanie
Stella
Stina
Stine
Sunny
Sura
Svea
Svenja
Tabea
Talea
Talia
Tamara
Tamina
Tara
Tarja
Tessa
Thea
Theda
Theresa
Tia
Tiana
Tilda
Toni
Tuana
Valentina
Valeria
Valerie
Vanessa
Vera
Verena
Veronika
Victoria
Viola
Violetta
Vivian
Viviana
Vivien
Wiebke
Wilma
Xenia
Yaren
Ylvi
Zümra
Zainab
Zara
Zehra
Zeynep
Zoe
Zoey
