firstname
Aaron
Adam
Adem
Adrian
Adriano
Ahmad
Ahmet
Aiden
Ajan
Alan
Albert
Alessandro
Alessio
Alex
Alexander
Alexandros
Alfred
Ali
Alwin
Amadeus
Amar
Ömer
Amin
Amir
Amon
Andre
Andreas
Andrej
Angelo
Ansgar
Anthony
Anton
Antonio
Aras
Arda
Arian
Arik
Arjen
Armin
Arne
Arno
Artur
Arvid
August
Aurelio
Ayaz
Azad
Baran
Bastian
Bela
Ben
Benedikt
Benjamin
Bennet
Benno
Berat
Berkay
Bilal
Bjarne
Bo
Bosse
Brian
Bruno
Burak
Can
Carl
Carlo
Carlos
Caspar
Cedric
Cem
Charlie
Chris
Christian
Christoph
Christopher
Cihan
Claas
Clemens
Colin
Connor
Constantin
Cornelius
Curt
Damian
Damien
Damon
Daniel
Danilo
Danny
Dante
Darian
Dario
Darius
David
Davide
Davin
Dean
Deniz
Dennis
Devin
Diego
Dion
Domenic
Dominic
Dustin
Dylan
Eddy
Edgar
Eduard
Edwin
Efe
Ege
Elia
Elian
Eliano
Elias
Elija
Emanuel
Emil
Emilian
Emilio
Emin
Emir
Emirhan
Emre
Enes
Enno
Enrico
Ensar
Eray
Eren
Erik
Erwin
Etienne
Eymen
Fabian
Fabio
Falk
Felix
Ferdinand
Fiete
Finn
Finnley
Florian
Flynn
Francesco
Franz
Fred
Frederik
Friedrich
Fritz
Gabriel
Georg
Gero
Gianluca
Giuliano
Giuseppe
Gregor
Gustav
Hamza
Hannes
Hanno
Hans
Hassan
Hauke
Heinrich
Hendrik
Hennes
Henning
Henrik
Henry
Hugo
Ian
Ibrahim
Ilay
Ilja
Ilyas
Imran
Ismail
Iven
Jack
Jake
Jakob
Jakub
Jamal
James
Jamie
Jan
Janne
Jannek
Jannes
Jannik
Jannis
Jano
Janosch
Jari
Jarne
Jarno
Jaro
Jaron
Jason
Jasper
Jay
Jayden
Jean
Jenke
Jeremy
Jermaine
Jerome
Jesper
Jesse
Jim
Joe
Joel
Johann
Johannes
John
Johnny
Jon
Jona
Jonas
Jonathan
Jonne
Jonte
Joost
Jordan
Joris
Joscha
Josef
Josh
Joshua
Josua
Julian
Julien
Julius
Junes
Juri
Justin
Justus
Kaan
Kai
Kalle
Karim
Keanu
Kenan
Keno
Kerem
Kerim
Kevin
Kian
Kilian
Kimi
Kiyan
Kjell
Konrad
Konstantinos
Koray
Korbinian
Kuzey
Lars
Lasse
Laurens
Laurin
Lean
Leander
Leandro
Leano
Leart
Ledion
Leif
Lenn
Lennard
Lennox
Lenny
Leo
Leon
Leonard
Leonardo
Leonas
Leonhard
Leonidas
Leopold
Levi
Levin
Lewis
Liam
Lian
Lias
Lijan
Lino
Linus
Lio
Lion
Lionel
Logan
Lorenz
Lorik
Loris
Lou
Louie
Lounis
Luan
Luca
Lucien
Ludwig
Luis
Luiz
Lukas
Luke
Lutz
Maddox
Magnus
Mahir
Maik
Mailo
Malik
Malte
Manuel
Marc
Marcel
Marco
Marek
Marian
Mario
Marius
Markus
Marlo
Marlon
Marten
Martin
Marvin
Mason
Mats
Matteo
Mattes
Matthias
Matti
Mattia
Mattis
Maurice
Max
Maxim
Maximilian
Mehmet
Melih
Melvin
Merlin
Mert
Mete
Michael
Michel
Mick
Miguel
Mika
Mikael
Mikail
Miko
Milan
Milian
Milo
Mio
Mirac
Miran
Mirco
Miro
Mohammed
Moritz
Musa
Mustafa
Nathan
Nathanael
Nelio
Neo
Nevio
Nick
Nico
Nicolas
Nikita
Niklas
Nikolai
Nils
Nino
Noah
Noel
Ole
Oliver
Omar
Oskar
Otto
Pascal
Patrick
Paul
Peer
Pepe
Peter
Phil
Philipp
Pierre
Piet
Pit
Pius
Poyraz
Quentin
Quinn
Quirin
Ragnar
Raik
Raphael
Rayan
René
Ricardo
Richard
Rico
Robert
Robin
Rocco
Roman
Romeo
Ruben
Rudi
Ryan
Said
Salih
Salvatore
Sam
Sami
Samir
Sammy
Samu
Samuel
Samy
Sandro
Santino
Sascha
Scott
Sean
Sebastian
Selim
Semih
Severin
Seyit
Sidney
Silas
Simeon
Simon
Sinan
Stefan
Steven
Sven
Taha
Talha
Tamino
Tamme
Tammo
Taylan
Taylor
Theo
Theodor
Thies
Thilo
Thomas
Thore
Thorin
Tiago
Till
Tim
Timo
Timon
Timur
Tino
Titus
Tizian
Tjark
Tobias
Tom
Tommi
Toni
Torben
Tristan
Tyler
Umut
Valentin
Valentino
Veit
Victor
Vince
Vincent
Vito
Vitus
Wilhelm
Willi
William
Xaver
Yasin
Yigit
Younes
Youssef
Yunus
Yusuf
